C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
[2010],[7],[9],[11],[19],[19.2],[0],[10],[7.5350],[0],[11],[54.870],[8],[Tycho-2]
[2010],[7],[9],[11],[24],[29.3],[0],[10],[7.5820],[0],[11],[54.820],[8],[Tycho-2]
