C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
[1],[2003],[02],[24.44985],[08],[53],[34.00],[+18],[56],[16.0],[568]
[1],[2003],[02],[24.47407],[08],[53],[33.40],[+18],[56],[18.4],[568]
