C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
[2011],[11],[27.51602],[01],[57],[07.34],[+11],[27],[44.0],[E07]
[2011],[11],[27.52372],[01],[57],[07.25],[+11],[27],[43.6],[E07]
